complaint_id,description,category,priority,reason,flag
KM-202401,Heritage lamp post knocked over by delivery vehicle. Not restored.,Streetlight,Standard,Based on description citing: Heritage lamp post knocked over delivery vehicle Not,
KM-202402,Historic tram road cobblestones broken up by cable laying work.,Heritage Damage,Standard,Based on description citing: Historic tram road cobblestones broken cable laying work,
KM-202405,Wedding band playing near Tagore Museum at 11pm. Festival season ongoing.,Other,Standard,Based on description citing: Wedding band playing Tagore Museum Festival season ongoing,NEEDS_REVIEW
KM-202409,Airport access road full of potholes. Diplomatic complaint received.,Pothole,Standard,Based on description citing: Airport access road full potholes Diplomatic complaint received,
KM-202410,Pothole causing tyre blowouts. Three incidents this week.,Pothole,Standard,Based on description citing: Pothole causing tyre blowouts Three incidents week,
KM-202411,Deep pothole filling with rainwater. Depth invisible. Accident risk.,Pothole,Standard,Based on description citing: Deep pothole filling rainwater Depth invisible Accident risk,
KM-202415,New residential complex draining directly onto public road.,Other,Standard,Based on description citing: New residential complex draining directly onto public road,NEEDS_REVIEW
KM-202418,Tourist zone waste overflowing. Foreign visitors photographing piles.,Waste,Standard,Based on description citing: Tourist zone waste overflowing Foreign visitors photographing piles,
KM-202421,Footpath broken and sinking. Elderly pedestrian fell. Hospital visit.,Road Damage,Urgent,Based on description citing: Footpath broken sinking Elderly pedestrian fell Hospital visit,
KM-202422,Road surface buckled near bridge. Structural concern raised.,Road Damage,Standard,Based on description citing: Road surface buckled bridge Structural concern raised,
KM-202426,Heritage residential building exterior defaced by billboard installation.,Heritage Damage,Standard,Based on description citing: Heritage residential building exterior defaced billboard installation,
KM-202430,Road subsided near gas pipeline. Gas leak smell reported too.,Other,Standard,Based on description citing: Road subsided gas pipeline Gas leak smell reported,NEEDS_REVIEW
KM-202434,Street paving removed for utility work — heritage stone not replaced.,Heritage Damage,Standard,Based on description citing: Street paving removed utility work heritage stone not,
KM-202436,Entire colony substation tripped. Darkness for 3 nights.,Other,Standard,Based on description citing: Entire colony substation tripped Darkness nights,NEEDS_REVIEW
KM-202438,Street vendors using amplifiers illegally in heritage precinct.,Heritage Damage,Standard,Based on description citing: Street vendors using amplifiers illegally heritage precinct,
