complaint_id,description,category,priority,reason,flag
GH-202401,Underpass flooded after 1hr rain. Ambulance diverted. Lives at risk.,Flooding,Urgent,Based on description citing: Underpass flooded after rain Ambulance diverted Lives risk,
GH-202402,Market area flooded. Traders suffering losses. Drain completely blocked.,Flooding,Standard,Based on description citing: Market area flooded Traders suffering losses Drain completely,
GH-202406,Main stormwater drain 100% blocked with construction debris.,Other,Standard,Based on description citing: Main stormwater drain blocked construction debris,NEEDS_REVIEW
GH-202407,Drain blocked and mosquito breeding. Dengue concern.,Drain Blockage,Standard,Based on description citing: Drain blocked mosquito breeding Dengue concern,
GH-202410,Potholes causing vehicles to slow to 20kmph on fast road.,Pothole,Standard,Based on description citing: Potholes causing vehicles slow kmph fast road,
GH-202411,Pothole swallowed entire motorcycle wheel. Rider hospitalised.,Pothole,Urgent,Based on description citing: Pothole swallowed entire motorcycle wheel Rider hospitalised,
GH-202412,School bus struggling to navigate 6 potholes in 200m stretch.,Pothole,Urgent,Based on description citing: School bus struggling navigate potholes stretch,
GH-202417,Heritage zone garbage overflow. Tourist photographs showing piles of waste.,Waste,Standard,Based on description citing: Heritage zone garbage overflow Tourist photographs showing piles,
GH-202420,Construction drilling from 5am daily near residential towers.,Other,Standard,Based on description citing: Construction drilling from daily residential towers,NEEDS_REVIEW
GH-202422,Road collapsed partially. Crater 1m deep near residential gate.,Other,Urgent,Based on description citing: Road collapsed partially Crater deep residential gate,NEEDS_REVIEW
GH-202424,Underpass floods in light rain. Cars regularly abandoned.,Flooding,Standard,Based on description citing: Underpass floods light rain Cars regularly abandoned,
GH-202428,Post-market waste not cleared. Area unusable by Sunday morning.,Waste,Standard,Based on description citing: Post market waste not cleared Area unusable Sunday,
GH-202432,24hr supermarket delivery trucks idling with engines on.,Other,Standard,Based on description citing: supermarket delivery trucks idling engines,NEEDS_REVIEW
GH-202448,Main drain blocked — entire locality at flooding risk this week.,Flooding,Standard,Based on description citing: Main drain blocked entire locality flooding risk week,
GH-202438,Colony surrounded by fields that channel rainwater through main road.,Other,Standard,Based on description citing: Colony surrounded fields channel rainwater through main road,NEEDS_REVIEW
