complaint_id,description,category,priority,reason,flag
PM-202401,Large pothole 60cm wide causing tyre damage. Three vehicles affected this week.,Pothole,Standard,Based on description citing: Large pothole wide causing tyre damage Three vehicles,
PM-202402,Deep pothole near bus stop. School children at risk during morning hours.,Pothole,Urgent,Based on description citing: Deep pothole bus stop School children risk during,
PM-202406,Underpass flooded knee-deep after 2hrs rain. Commuters stranded.,Flooding,Standard,Based on description citing: Underpass flooded knee deep after hrs rain Commuters,
PM-202408,Bus stand flooded. Passengers standing in water. Drain blocked.,Flooding,Standard,Based on description citing: Bus stand flooded Passengers standing water Drain blocked,
PM-202410,Three consecutive streetlights out for 10 days. Area very dark at night.,Streetlight,Standard,Based on description citing: Three consecutive streetlights out days Area very dark,
PM-202411,Streetlight flickering and sparking. Electrical hazard reported.,Streetlight,Urgent,Based on description citing: Streetlight flickering sparking Electrical hazard reported,
PM-202413,Overflowing garbage bins near vegetable market. Smell affecting shoppers.,Waste,Standard,Based on description citing: Overflowing garbage bins vegetable market Smell affecting shoppers,
PM-202418,Wedding venue playing music past midnight on weeknights.,Noise,Standard,Based on description citing: Wedding venue playing music past midnight weeknights,
PM-202419,Road surface cracked and sinking near utility work done 1 month ago.,Road Damage,Standard,Based on description citing: Road surface cracked sinking utility work done month,
PM-202420,Manhole cover missing. Risk of serious injury to cyclists.,Drain Blockage,Urgent,Based on description citing: Manhole cover missing Risk serious injury cyclists,
PM-202427,Bridge approach floods in 30mins of rain. Bridge becomes inaccessible.,Flooding,Standard,Based on description citing: Bridge approach floods mins rain Bridge becomes inaccessible,
PM-202428,Dead animal not removed for 36 hours. Health concern.,Waste,Standard,Based on description citing: Dead animal not removed hours Health concern,
PM-202430,"Heritage street, lights out. Safety concern for pedestrians after dark.",Heritage Damage,Standard,Based on description citing: Heritage street lights out Safety concern pedestrians after,
PM-202433,Bulk waste from apartment renovation dumped on public road.,Waste,Standard,Based on description citing: Bulk waste from apartment renovation dumped public road,
PM-202446,Footpath tiles broken and upturned. Elderly resident fell last week.,Road Damage,Urgent,Based on description citing: Footpath tiles broken upturned Elderly resident fell last,
